scenario,case_study,design,run_id,total_new_capacity_mw,largest_node_mw,active_nodes,node_hhi,largest_zone_share,largest_node_share
nl34_z1_sigma0,Case Study 1,Country-wide,13,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,14,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,15,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,16,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,17,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,18,14634.507606266918,1000.0,15,0.06724881976879932,0.6833164646904629,0.0683316464690463
nl34_z1_sigma0,Case Study 1,Country-wide,19,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,20,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,21,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,22,14634.50760496862,1000.0,15,0.06724881976694691,0.6833164647510833,0.06833164647510832
nl34_z1_sigma0,Case Study 1,Country-wide,23,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,24,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,25,14634.507602851118,1000.0,15,0.06724881980365129,0.6833164648487889,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,26,14634.507602851118,1000.0,15,0.0672488198037095,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,27,14634.507614741942,1000.0,15,0.06724881969442789,0.6833164642947459,0.06833164642947459
nl34_z1_sigma0,Case Study 1,Country-wide,28,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,29,14634.507602919883,1000.0,15,0.0672488198028448,0.6833164648467432,0.06833164648467432
nl34_z1_sigma0,Case Study 1,Country-wide,30,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,31,14634.507602966149,1000.0,15,0.06724881980243752,0.683316464844583,0.06833164648445829
nl34_z1_sigma0,Case Study 1,Country-wide,32,14634.507603670923,1000.0,15,0.0672488197961751,0.6833164648116755,0.06833164648116755
nl34_z1_sigma0,Case Study 1,Country-wide,33,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,34,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,35,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,36,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,37,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,38,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,39,14634.507804750308,1000.0,15,0.06724881836118203,0.683316455422849,0.0683316455422849
nl34_z1_sigma0,Case Study 1,Country-wide,40,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,41,14634.507602851118,1000.0,15,0.06724881980370948,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,42,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
nl34_z1_sigma0,Case Study 1,Country-wide,43,14634.507602851118,1000.0,15,0.06724881980370949,0.683316464849954,0.0683316464849954
