scenario,case_study,design,sigma,line,bus,ptdf,ptdf_side,capacity_min_mw,capacity_max_mw,rho_investment_total_overload,rho_investment_maximum_overload,rho_investment_redispatch,rho_investment_grid_shedding,runs
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 11,0.6884856692823966,positive,0.0,1000.0,0.5351741854061849,0.5410544028845329,0.30902464893565873,0.2217383744455895,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 12,0.8096498326560537,positive,0.0,1000.0,-0.052476110816841774,-0.05201894722371829,0.10890456110034429,-0.013432574445247451,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 13,0.4951241241528987,positive,0.0,1000.0,0.5924722157282212,0.6012240445364746,0.3616701686377778,0.3126466760412567,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 14,0.8179529300422532,positive,0.0,1000.0,0.17120627867891963,0.16958401965581352,0.7442672976838531,0.8272080434603806,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 15,0.7998951750421592,positive,0.0,1000.0,-0.2333260081045641,-0.2310192428268973,-0.8229658387249887,-0.868568582857538,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 16,0.0508547496430146,positive,0.0,1000.0,0.08072898311828718,0.09635238439337569,-0.09693354607891155,0.0692619143911765,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 19,0.8065074028788093,positive,0.0,1000.0,-0.21593967812246312,-0.21183944114445363,-0.7323319779566079,-0.7736097907119199,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 2,0.8057461026636854,positive,0.0,1000.0,-0.22061095599020725,-0.2200546514822241,-0.7909173712639489,-0.8555349079817428,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 20,0.8732517387551535,positive,0.0,1000.0,0.017376557671269614,0.021617619054332318,0.001320074812878627,-0.054233840155217934,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 22,0.1126525218778523,positive,0.0,1000.0,-0.6087850683253675,-0.5931112168092166,-0.3794991006773172,-0.30417805007281434,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 25,0.8068810333166492,positive,0.0,1000.0,-0.30328506655161847,-0.29803451898136896,-0.6011353829754446,-0.6274997995808176,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 26,0.8229199299696675,positive,0.0,1000.0,0.13690592106690522,0.13376601829461474,0.6172617350519106,0.6820824037641776,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 28,0.8157848338519302,positive,0.0,1000.0,0.19899181570571128,0.1944080784165011,0.7807593095554638,0.8018097195368724,80
nl34_z3_sigma25,Case Study 1,Split,0.25,26,NL0 31,0.8071192197782027,positive,0.0,1000.0,-0.026222473409678895,-0.037884526060788286,0.004183422658404626,-0.12512400266494994,80
